headlines,headline_url
"Hambali, Dalang Bom Bali 2002, Mulai Sidang Pra-Peradilan di Guantanamo",https://www.kompas.com/global/read/2023/04/25/200500370/hambali-dalang-bom-bali-2002-mulai-sidang-pra-peradilan-di-guantanamo
"Joe Biden Resmi Maju ke Pilpres AS 2024, Rekor Capres Tertua di Amerika",https://www.kompas.com/global/read/2023/04/25/185400770/joe-biden-resmi-maju-ke-pilpres-as-2024-rekor-capres-tertua-di-amerika
Pria Usia 66 Tahun Rampok 3 Toko Pakai Pistol Mainan,https://www.kompas.com/global/read/2023/04/25/174300970/pria-usia-66-tahun-rampok-3-toko-pakai-pistol-mainan
"PM Malaysia Anwar Ibrahim Dikritik Boros karena ""Open House"" di 5 Negara Bagian",https://www.kompas.com/global/read/2023/04/25/163200570/pm-malaysia-anwar-ibrahim-dikritik-boros-karena-open-house-di-5-negara
"Drone Ukraina Ditemukan di Luar Moskwa, Parade Hari Kemenangan Dibatalkan",https://www.kompas.com/global/read/2023/04/25/152100170/drone-ukraina-ditemukan-di-luar-moskwa-parade-hari-kemenangan-dibatalkan
Apa Kepentingan Tentara Bayaran Rusia Grup Wagner di Sudan?,https://www.kompas.com/global/read/2023/04/25/141600670/apa-kepentingan-tentara-bayaran-rusia-grup-wagner-di-sudan-
"Jalani Ritual, Suami Istri di India Penggal Kepala Sendiri, Tinggalkan 2 Anak",https://www.kompas.com/global/read/2023/04/25/131400370/jalani-ritual-suami-istri-di-india-penggal-kepala-sendiri-tinggalkan-2
Perubahan Kebijakan Twitter Picu Lonjakan Propaganda oleh Rusia dan China,https://www.kompas.com/global/read/2023/04/25/121500270/perubahan-kebijakan-twitter-picu-lonjakan-propaganda-oleh-rusia-dan-china
"Korban Ajaran Sesat Gereja di Kenya yang Praktikkan Kelaparan Terus Naik, 73 Mayat Ditemukan",https://www.kompas.com/global/read/2023/04/25/111400070/korban-ajaran-sesat-gereja-di-kenya-yang-praktikkan-kelaparan-terus-naik
AS: Gencatan Senjata 72 jam Disepakati di Sudan,https://www.kompas.com/global/read/2023/04/25/101300470/as--gencatan-senjata-72-jam-disepakati-di-sudan
"Rangkuman Hari Ke-425 Serangan Rusia ke Ukraina: Moldova Terancam Rusia, Guterres Kirim Surat ke Putin",https://www.kompas.com/global/read/2023/04/25/091947170/rangkuman-hari-ke-425-serangan-rusia-ke-ukraina-moldova-terancam-rusia
"Delima Silalahi, Aktivis Lingkungan Asal Sumut Raih Penghargaan Goldman Environmental Prize 2023",https://www.kompas.com/global/read/2023/04/25/081840170/delima-silalahi-aktivis-lingkungan-asal-sumut-raih-penghargaan-goldman
"Sekjen PBB Sebut Konflik di Sudan Terus Memburuk, Peringatkan Ini",https://www.kompas.com/global/read/2023/04/25/071400070/sekjen-pbb-sebut-konflik-di-sudan-terus-memburuk-peringatkan-ini-
"Sber dari Rusia Luncurkan GigaChat, Saingi ChatGPT",https://www.kompas.com/global/read/2023/04/25/061500370/sber-dari-rusia-luncurkan-gigachat-saingi-chatgpt
Taiwan Temukan Produk Mi Instan Asal Indonesia dan Malaysia Ini Mengandung Zat Pemicu Kanker,https://www.kompas.com/global/read/2023/04/25/060602370/taiwan-temukan-produk-mi-instan-asal-indonesia-dan-malaysia-ini
[POPULER GLOBAL] Usul Kapal Perang ke Selat Taiwan | Malaysia Dihantam Gelombang Panas,https://www.kompas.com/global/read/2023/04/25/052500370/-populer-global-usul-kapal-perang-ke-selat-taiwan-malaysia-dihantam
AU Rusia Tak Sengaja Bom Kota Sendiri Pakai Jet Tempur Sukhoi,https://www.kompas.com/global/read/2023/04/24/221300770/au-rusia-tak-sengaja-bom-kota-sendiri-pakai-jet-tempur-sukhoi
Rusia Mengaku Sangat Prihatin atas Ketegangan Armenia-Azerbaijan,https://www.kompas.com/global/read/2023/04/24/212800270/rusia-mengaku-sangat-prihatin-atas-ketegangan-armenia-azerbaijan
Cheetah Kedua yang Dibawa India dari Afrika Mati,https://www.kompas.com/global/read/2023/04/24/204700770/cheetah-kedua-yang-dibawa-india-dari-afrika-mati
"Majelis Rakyat Kazakhstan Akan Bahas Persatuan Nasional, Dubes Sarekenov Singgung Indonesia",https://www.kompas.com/global/read/2023/04/24/195800070/majelis-rakyat-kazakhstan-akan-bahas-persatuan-nasional-dubes-sarekenov
"Diduga Parkir Sembarangan, Mobil Ini Dicoreti Pakai Spidol dan Bannya Digembok",https://www.kompas.com/global/read/2023/04/24/191600270/diduga-parkir-sembarangan-mobil-ini-dicoreti-pakai-spidol-dan-bannya
Beda Cara Indonesia dengan Negara Lain dalam Evakuasi Warga dari Sudan,https://www.kompas.com/global/read/2023/04/24/182900670/beda-cara-indonesia-dengan-negara-lain-dalam-evakuasi-warga-dari-sudan
